Id,Team,Title,Description,Status,Estimate,Priority,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Completed,Canceled,Archived
11,SimpleAM,Build Spreadsheets Module,"## Context
Implement spreadsheet workspace with templates, player links, and AI helpers.

## Acceptance Criteria
- Spreadsheet grid with versioning and player-linked rows working.
- Template gallery seeded with performance and wellness sheets.
- AI assist to generate and optimize tables available in UI.
- Import/export flows integrated with reports and player profiles.

## Source
documents/simpleam.app.md:3677
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Spreadsheets",,,,,2025-11-04,2025-11-04,,,,
12,SimpleAM,Build Reports Module,"## Context
Create configurable reports hooking into players, forms, notes, spreadsheets, and charts.

## Acceptance Criteria
- Report builder supports KPIs, filters, saved views, and sharing.
- Recharts visualizations export to PDF/CSV.
- Scheduled report delivery via background jobs operational.
- AI-generated insight summaries included for each report.

## Source
documents/simpleam.app.md:3928
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Reports",,,,,2025-11-04,2025-11-04,,,,
13,SimpleAM,Build Calendar & Event Module,"## Context
Ship scheduling system with multi-view calendar, event templates, attendance, and integrations.

## Acceptance Criteria
- Calendar supports month/week/list views with drag-and-drop editing.
- Event detail links notes, files, forms, spreadsheets, and attendance.
- Reminder and attendance tracking flows complete.
- Mobile-first interactions plus ICS sync decision documented.

## Source
documents/simpleam.app.md:4680
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Calendar",,,,,2025-11-04,2025-11-04,,,,
14,SimpleAM,Build Files & Media Library,"## Context
Stand up file storage with tagging, permissions, previews, and large-video strategy.

## Acceptance Criteria
- Folder/tag taxonomy with search and filters in place.
- Media previews for core formats and plan for large video/CDN finalized.
- Entity linking to players, events, reports live.
- Upload quotas and cost controls enforced.

## Source
documents/simpleam.app.md:2160
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Files",,,,,2025-11-04,2025-11-04,,,,
15,SimpleAM,Build Planner Module,"## Context
Deliver planning workspace for training cycles, objectives, and cross-module linking.

## Acceptance Criteria
- Planner UI with drag/drop blocks, timeline, and templates shipped.
- Connections to forms, notes, spreadsheets, and AI recommendations working.
- Role-based editing and publishing workflows defined and enforced.

## Source
documents/simpleam.app.md:2933
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Planner",,,,,2025-11-04,2025-11-04,,,,
16,SimpleAM,Build Drawing Canvas Module,"## Context
Implement tactical whiteboard with templates, draggable assets, export, and AI assistance.

## Acceptance Criteria
- Canvas editor (Excalidraw/custom) with pitch templates live.
- Player/object library and snapping tools working.
- Export to PNG/PDF plus entity linking complete.
- AI-generated play/pattern suggestions scoped and prototyped.

## Source
documents/simpleam.app.md:6592
",Backlog,,High,Platform,Codex Assistant,,"Area::Product, Area::Canvas",,,,,2025-11-04,2025-11-04,,,,
17,SimpleAM,Build AI Assistant & Tooling,"## Context
Stand up AI architecture, interface, tool plugins, cost controls, and privacy guardrails.

## Acceptance Criteria
- Service architecture documented with routing, providers, caching.
- Assistant UI integrated into app shell with command palette entry.
- Initial toolset (forms builder, notes summary, spreadsheet insights) wired and tested.
- Cost tracking dashboards and rate limits operational.

## Source
documents/simpleam.app.md:8553
- documents/simpleam.app.md:8933
- documents/simpleam.app.md:9278
",Backlog,,High,Platform,Codex Assistant,,"Area::Cross-cutting, Area::AI",,,,,2025-11-04,2025-11-04,,,,
18,SimpleAM,Launch Templates Hub,"## Context
Create templates marketplace for forms, spreadsheets, planners, and community contributions.

## Acceptance Criteria
- Hub navigation with categories and search shipped.
- Submission/review workflow documented with moderation plan.
- Starter templates highlighted for onboarding and AI suggestions.

## Source
documents/simpleam.app.md:9327
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Cross-cutting, Area::Templates",,,,,2025-11-04,2025-11-04,,,,
19,SimpleAM,Implement System Settings & Org Administration,"## Context
Deliver organization-level controls for branding, billing, permissions, integrations, and audit logs.

## Acceptance Criteria
- Settings IA covering org profile, billing, integrations, role management signed off.
- Permission matrix + RLS alignment implemented.
- Audit log MVP with notification preferences live.

## Source
documents/simpleam.app.md:10043
",Backlog,,High,Platform,Codex Assistant,,"Area::Cross-cutting, Area::Settings",,,,,2025-11-04,2025-11-04,,,,
20,SimpleAM,Implement User Profile & Preferences,"## Context
Build personal profile area for contact info, notifications, security, and personalization.

## Acceptance Criteria
- Profile editing for contact info/avatar/timezone working on web + mobile.
- Notification channel preferences and social account linking live.
- Security settings (password reset/MFA backlog) documented.

## Source
documents/simpleam.app.md:10637
",Backlog,,High,Platform,Codex Assistant,,"Area::Cross-cutting, Area::User",,,,,2025-11-04,2025-11-04,,,,
21,SimpleAM,Resolve Outstanding Technical Decisions,"## Context
Answer open technical questions around database, RLS, realtime, file pipeline, and jobs.

## Acceptance Criteria
- Decision doc covering Supabase vs standalone Postgres and Prisma usage published.
- Reusable RLS helpers defined for permission layers.
- Realtime/collaboration requirements mapped to technical approach.
- File storage/CDN pipeline and background job orchestration plan agreed.

## Source
documents/simpleam.app.md:140
- documents/simpleam.app.md:154
- documents/simpleam.app.md:160
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Strategy, Area::Architecture",,,,,2025-11-04,2025-11-04,,,,
22,SimpleAM,Tackle Business & Go-To-Market Questions,"## Context
Close pricing, MVP phasing, customer segmentation, and sales motion gaps to guide build focus.

## Acceptance Criteria
- Pricing tiers drafted with value fences vs incumbents.
- MVP phases (launch/3-6m/6-12m) agreed with stakeholders.
- Customer segments (pro, college, academy) documented with personas.
- Sales funnel outline (self-serve vs direct) with next experiments captured.

## Source
documents/simpleam.app.md:172
",Backlog,,Medium,Platform,Codex Assistant,,"Area::Strategy, Area::GTM",,,,,2025-11-04,2025-11-04,,,,
